not-plant	plant
62,48,21	45,51,7
60,44,11	43,49,3
56,40,6	44,50,4
54,38,5	46,54,7
58,43,14	44,52,5
136,134,137	36,42,4
138,136,137	36,42,4
139,137,138	37,43,5
139,137,138	38,45,4
138,136,137	36,42,4
140,136,137	37,43,5
138,134,135	38,44,8
136,134,137	37,43,7
136,134,137	35,41,5
133,131,132	36,42,6
134,132,133	36,42,4
33,28,24	41,48,6
35,30,26	41,48,6
34,29,25	42,49,7
35,30,26	42,48,4
33,28,24	43,49,5
34,29,23	44,50,6
38,33,27	44,50,6
35,30,26	43,49,5
30,25,21	44,50,6
32,27,23	46,52,6
32,27,23	47,53,7
105,91,65	37,43,5
103,88,65	36,42,4
91,79,57	36,43,2
70,58,42	37,44,3
42,32,20	37,43,5
25,17,6	35,41,3
23,14,5	36,42,6
23,16,8	37,43,7
32,23,14	34,40,4
44,35,20	35,41,5
50,39,21	37,43,5
21,16,10	40,47,5
20,15,9	42,49,7
21,16,10	42,49,7
21,16,10	44,50,6
32,23,14	43,49,5
52,41,23	42,48,4
65,50,27	42,48,4
62,45,17	43,49,5
54,37,7	44,50,6
51,35,9	43,49,3
50,35,12	43,49,3
137,135,136	38,42,5
136,134,135	37,41,4
136,134,135	38,44,6
137,135,136	39,45,7
137,135,136	37,41,4
138,134,135	35,39,2
139,135,136	35,41,5
137,135,136	35,41,5
137,135,136	35,41,5
136,132,133	35,41,5
134,130,131	36,42,6
36,31,27	39,48,3
36,31,27	41,48,6
36,31,27	43,50,8
38,33,29	45,51,7
35,30,26	45,51,7
34,29,23	43,49,5
35,30,24	42,48,4
35,30,26	43,49,5
36,31,27	44,50,6
32,27,23	44,50,6
31,26,22	43,49,5
97,85,63	38,42,5
95,83,61	39,43,6
80,69,51	39,45,7
57,47,35	38,44,6
25,16,7	36,40,3
21,14,6	36,40,3
19,15,6	35,41,5
30,23,15	34,40,4
50,41,32	34,40,4
56,47,30	35,41,5
57,46,28	37,43,7
21,16,10	40,49,4
20,15,9	40,47,5
21,16,10	43,50,8
24,19,13	46,52,8
37,30,20	43,49,5
54,45,30	43,49,5
60,47,28	43,49,5
61,47,21	45,51,7
56,40,15	45,51,7
51,36,15	48,54,10
42,29,10	44,50,6
136,134,135	37,41,6
135,133,134	38,42,7
137,135,136	39,43,8
135,133,134	38,42,7
136,134,135	36,40,3
138,134,135	36,40,3
139,135,136	36,40,3
138,136,137	35,39,2
137,135,136	34,40,4
139,135,136	34,40,4
136,132,133	35,41,7
35,30,26	42,49,7
35,30,26	42,48,4
37,32,28	42,48,4
36,31,25	43,49,5
32,27,21	42,48,4
33,28,24	43,50,6
36,31,27	45,52,8
39,31,28	45,51,7
40,32,29	47,53,9
32,27,23	46,53,9
31,26,22	43,50,6
70,58,42	34,38,3
69,60,43	35,39,4
60,52,39	38,42,7
33,26,16	38,42,7
20,15,9	37,41,4
18,15,10	35,39,2
19,16,9	36,40,3
26,22,13	36,40,3
45,39,25	33,39,3
56,47,30	33,39,3
63,52,32	34,40,6
24,17,11	41,48,6
21,16,12	40,46,2
21,16,12	42,48,4
28,21,15	43,49,5
38,31,23	44,50,6
49,39,27	44,51,7
55,43,27	43,50,6
58,46,24	44,50,6
57,45,23	45,51,7
46,35,17	41,48,4
33,21,9	41,48,4
135,133,136	35,39,4
137,135,136	34,38,3
137,135,136	34,40,4
139,137,138	35,41,5
137,135,136	35,41,3
139,135,136	34,40,2
140,136,137	35,39,4
138,136,137	36,40,5
137,135,136	36,40,7
138,134,135	34,38,5
139,135,136	34,38,5
36,31,27	45,50,9
37,32,28	41,48,6
36,31,27	39,46,4
33,28,22	43,48,7
34,29,23	46,51,10
35,30,26	44,49,8
36,31,27	42,47,6
40,32,29	42,48,4
36,28,25	43,49,5
34,29,25	43,49,5
35,30,26	42,48,4
39,29,19	
34,26,15	
32,25,15	
21,17,8	
20,15,9	
19,16,11	
19,16,9	
21,17,6	
36,30,16	
55,47,28	
62,51,31	
23,16,10	
22,17,13	
21,16,12	
25,18,12	
30,23,15	
40,31,22	
47,37,25	
53,44,27	
48,39,22	
35,25,13	
23,14,5	
138,136,139	
140,138,139	
137,135,136	
137,135,136	
137,135,136	
139,135,136	
139,135,136	
138,136,137	
136,134,135	
137,133,134	
140,136,137	
36,31,27	
36,31,27	
35,30,26	
33,28,24	
34,29,25	
35,30,26	
36,31,27	
38,30,27	
35,27,24	
35,30,26	
37,32,28	
24,17,9	
22,18,9	
18,13,7	
19,14,8	
20,15,9	
21,18,11	
22,19,10	
28,22,10	
36,29,13	
49,41,22	
58,47,27	
22,17,11	
21,16,10	
22,17,11	
24,17,11	
24,17,11	
32,25,17	
37,28,19	
38,30,19	
36,28,17	
23,14,5	
21,14,6	
140,138,139	
136,134,135	
137,135,136	
136,134,135	
135,133,134	
137,135,136	
137,135,136	
138,136,137	
136,134,135	
139,135,136	
140,136,137	
36,31,27	
35,30,26	
34,29,25	
34,29,25	
34,29,25	
36,31,27	
36,31,27	
36,28,25	
36,28,25	
34,29,25	
35,30,26	
20,16,7	
20,15,9	
19,16,9	
20,15,9	
20,15,9	
23,19,10	
25,21,10	
34,26,13	
43,34,17	
51,40,22	
50,39,19	
21,16,10	
21,16,10	
22,17,11	
25,18,12	
24,17,11	
23,16,8	
22,15,7	
23,16,8	
23,16,8	
21,14,8	
22,15,9	
136,134,135	
135,133,134	
136,134,135	
138,136,137	
136,134,135	
137,135,136	
137,135,136	
135,133,134	
136,134,135	
140,136,137	
139,135,136	
	
